Unnamed: 0,raw_problem,raw_answer,tag,reason,answer,answer_diff,canary
/Q==,KQAFeUZaJZdlSpCJZIgf+S1ZpVRKinooz2xNP7hIsqFqXhIYGEh5zHEBz4s74BeZR1TELXXLEymQEF1L+ULZ83olYSZ0Fl2jDBaq4gyGdaY0Kdl2H8tsd5NDF0CSG9udKDc3ckJ8JLFIS6+xZIgx+Tx+qVVYiFE9zk57P7JZuqdBXRUlG0xUzlIozrsW4DWGRnb4LVTNExunEW1/9X7X82IdYBJaFXqQDwO74QiFdIAIKdpMH+FJd5J1FkafGu2bKQAveUVVJZBSS7qKZJQs+TBDp1J+iEgczGtfM7B4uqdBXRcRGkhBzlAEz5MR4Sq/SU/XLWfvEi23EXp+83Lv+E06bTJJGVaEAAGP4g6hdKcaKe1ZHfVyd7p6FXeBGM20IgQa,KQAZeHN+JoxtS4W9,KBobeHRQJKJDS7qK,KBobeHRQJod8SIuPZp8V+ShlpVh3,KQAZeHN+JoxtS4W9brkZ+BhSpUV0ilkoxUt5,mcrw+A==,browsecomp-zh-revised
/A==,KQAFeFBGJo15SKCHZIA9+S92r3R2inM+z3hIP4ZzsLZaXhg4GEpRzlIgzr8B4jaRRUToL3PGGS6mEV9X83v5/kIAYwVRFHmHDTWX4BuBdaQgK+5+HtVkeqtjF2eHG9C3KDc9ckJ8Jr5ZSL2QZb0a+BhqpHBQim0ww29vP4Z2sKJ7UAURGHhRxVQizLEI4B6WSHPvLEHZEwCmEFF28kXj+E06bSJnFW+cDSuG4g69dJMLKvtIHtZ+,KAE2eFpEJLlN,KBobeHRQJKJDS7qK,KBobeHRQJKJDS7qK,KAE2eFpEJLlNQZaPZLwi+QR6pVtfinsYz1hMPqtts4dEURwNG3Vtz2cWxbsI,mcrw+A==,browsecomp-zh-revised
/w==,KycVe1N8J6NjS629ZpEO+BpApHBXim0vz3tnPIBHuqdBirV4THEklmhLjYxomiL4GV6lQGGLSw7FS3zoLhvnmis2LXh5SiaGRJ3PuyHhKbZEdPosQvweLLsYTFbyRsbzcylgDXPFJZJCS4eQbrkd+BhapXBciWMiz1pnOZZ8Zyv8jWAkShVIpw0+pOg9iXWkGijfWBPwRXaTZxdhqhbcoSg+JXh4ayehbUuXlGa5B/o7fKVHcIp+JM5KbDWqcrK3YVw/ERtJdc5QFMyYEeIFqUVz8S1y2RIvthBqXvNu2f5dNWElRRljsg41mOIOlHSkIy3AShP4WHaRYRRiqBvfhSgRH3paTCawbEi9omeZDg==,JD8UeEFnJ7xv,KDYaelNkJ4tgR76eaao+,nFESMxdSWcxwAc+uG+I1oEZZ5S5m8BkuphJ+RfFTwf1sMGElRBR5lA0ktOIon3a4HCnaTB7VTA==,/4i0rxtJdRvZSLaPszZ3iwU=,mcrw+A==,browsecomp-zh-revised
/g==,KQAFelF3JZBSS52iZ5wr9CNzqWp+h1g/zUxzPIBHsItcXx8ZFl57zH4pxbsNN6Eukyv5fB/gZ3eSdB9mmhvsrSkCC6/OwvXJaC8YN7MwdKUUK89ZH9d1dpBxFGKyGfqcKgMoeUNsLpZkSpebaYUU+T1JplVfh3E4z2d8Pq5+sLV7XD8PFnFVzVU/z4It4B6kQ07CLEfzHhKvE0ha83vk/VExYSV3FHmABxKm7z6cdaQpJsBNHtJqeqpyGVmrG8mzKCgLdGNSJZJMSYWAZr48+B1SpHBwiWobzUpCP4ZzuqdBXQArGkhszUQCzr8I4SyRRHPcIHrqED2/E0hA8kTb8mshYyVRFHmHDjit4iWidLEGLcBKH+pAdKN3FUa+F9azJC8teGJYJK9ASbqEaasv+jxHpWxgi044z392M5VWuqdBXD0mGGR6zU8/z6on4jGIR2f2K3rtHj2dHmd0/kHM/3USYwt5F2qKDjaF4zqFdaUoKOBPE81ufZZo,u9Hh+JHdrUaJw0s=,KDYaelNkJ4tgR76eaao+,nFESMxdSWcxwAcyRBuI6vEZuxyFY9xkuphJ+RfFTwf1sMGElcxZZhQ0ApuEUsXe8JyfiUA==,m9Hh+JHdjWaJ42s9oUT/POmgM7yIGpXmQ5ie92KLO36pmMTompmuB77HWXLgabFQwaAnvZsIk7JnmJS/et4zdL+Y0/Sala4KvcBOYvN25X3OqimmnQ==,mcrw+A==,browsecomp-zh-revised
+Q==,KCgJeUZwJZJCS4ehZ6Uw+zpKpWVciGINzUx0PJ5usoFJXDwNG2tjxVQiz5spNKH5GXqlWHSKbTLOT0o8iW6yj3hdOCwZakXOUBXDpRnjCq5ITswgdNgTN7wYTFbxZfv+RDViB3oUeZEACKvhCZV0jTgr3U8e10yrGhJgVPlC2f1gHGEkbhVaiA0hu+8giXaGJCfmXh/TVnaSZBhkhxjNtCkDBXlHeC6Wdw==,rtn36ZGfrwqLxkt14GbledLuM6eUCIU=,KDYaelNkJ4tgR76eaao+,nFESMxdSWcxwAcOhF+AtvER20yBE/hMCpxBXavlC2f5KPmI8UBVRpw8JmuM5v3WjDijUcR//eHWHYxZ7ng==,jtn36ZGfrwqrxkt14GbledI=,mcrw+A==,browsecomp-zh-revised
+A==,KCQteUZwJZJCSLaOZpgR+hd/pUZgiWAVz3tmP6xrvY55Xx8ZG2xxz2QUxbsN4w2VRHbALEfiEzeZEXB98kXw8lAmYBpfF1uuDjeQ4QSidI4sJsNOEsBwdbNMFGKcGu+dKyUGeHRrJrBsS52CZLYh/yBMpXhHiFgzwkhpPq5UsId9XQknGGxIzGoOzr4E4guYRHLgL0HwGS6mE01c81vs/UUoYBdhFki5Dw6e4zuDdJEjKdl2H9ZCdLdSF0CSG+SbJCEVckJ8J6J4SpK9Zb0R+g57p0FDiVgYzGBGPIphsoFJXiUaG09WzGgJzr074hi1Q07CLnfBEi6KGExW/kHM/3A1YDhNFkGNDzSu4RSAdaYrK9BGHPJTeohcFGKWGuiWJCUbeEZIKbt/S7qKZp8V9Cl0plRVilgkzGNJPapos5NdXTgsFldHzlUyz5QA6i2QSE7MIEX2Ei+nH3lg8GL6/mMOYw57GVSVDQ+77gGldJklKPtpH9NWd6BsFUiaG/GWKyUHe35XJrBsRo2VaYwj/yBMqHdji0sfz1JDPJZZsoFJXQEiG11Rz3QGzroM4guYRln2LXr2GS6mE0tM80TA/3UzYgd6FUSGDSSL4hCddaQaKvpOH+hwd45wFXSiGumBKD4ceUR2JZJoSLaraKYO+ylnpnB/insHxUt8MrlJvIxjUDoEGGxtzFArz4oU4wmzRVLoIXjMEiqqEklu83jM/Fc8aiFh,KyEqdEBpJZBkS5Oz,KBobeHRQJKJDS7qK,KBobeHRQJKJDS7qK,KyEqdEBpJZBkS5OzbrkZ+S19pU1WinMRHcfIP69KuqdE,mcrw+A==,browsecomp-zh-revised
+w==,KQAFe1JOJZdXSb6v1Gv4aNn9BC1y2RIvthBqXvFTw/xYHWANbxZ5kg4mpeg9iXSZFir4ZR31cnS1ZxRivBnunyoDAnlGfia2d0uEmWSZIfkwQ6dTQopmHsVLfDK5SbyMY149JRh4Ts5QA8KoJOIqmEd1xy9g6x8wrBJfZv5+0P5dNWI6ThZZhQcStQ==,KDUfeF1b,KDYaelNkJ4tgR76eaao+,KDYaelNkJ4tgR76eaao+8xxUpUVgilU5z3haPI5RsqZaXTsqG0JazXIqz48a4DaXRHT6LEPkEiqqGExW/n/Z/3A1YCxgFHukDiay4R2qd5AnKMxtH8FufZZ7FGKbGM20JBoDeFFMKaptTaqFZbo/+jR3pVh0iFsGzFZ4M45Bsqp+XS0YGGhuzVU5z7k24COHSWzGLVXTHhKvFHBY,JCA6ek9DJIJt,mcrw+A==,browsecomp-zh-revised
+g==,KCQte2FgJZJCR7+4Zb8f+BtrpURBiWo9w2BLP4ZzsoFJXR4gG0pnw28ixbsN4w2VRHbAL13iEQWvEGdd82Xl/UQIYgB+GG+SDQqw4zu/fqAsK+5LH9dOd5JPFGaiF8+UKiUFeUZwJo1lS4+AZowo+zpKp1VbiGoyzXlAMqdft5tZWgUJGHJiwmgrz4oy4SyjSVv/Lm3ZHwWeH0pg82L9/ncyYSV0H32mDSOe4QG+d5g/JudBEtVddpdkFUiaGNWGKgMxe2lQJ5l9SbaYZ6gy+SFSpHBxiWs3yXdyMqlnsrxAXxIYGWdGzXIqzacV4jiqRlX+L0HgEy6/En9L8kTT82MAYDlkFHmwDSiv4zu/dL8LKdpMH+pFdJlfH2aaG9CtKQAoeHlKJqRYSpCBZb0R+wdDp0FDiVgYz392P7tusoFJXQkLG11nzWEHwrMp6i2QSGzrLUfNEzyTE0hg9H7J/3IWYDlzFkG3DxWe4BuBeI4FK8xRGO9rcap1GGWPGfKWKjEsdUpYJZZUSpOJaYYs9BBNpl1Oi0wozk9+P7Jzs4ZPXD0LGWVNzXIqz4Iy4iKnT3LMLEfpEy+5E0pg8kX5/kUlYzFfFVGGDSaa4i+GdoYkK9BFH8JhfZZ7FGaMFtSPKzs2eHZAJZJoSY2KZos++yp4p3NpiWgWzk9+PIlusrxAXhAYGkpKzGsrwo0D7RmwR1TELV/oEzSzEmBX8Vnl+E06bSJnF2anDyeD7zWtdIAIKN9YHtdcdpJrFkyvGc+fKCM4eFBGJrBsSpGiZL4r+w1fpU9AimYfzW10P4pOs410XxECGkpmxVQizI444BaaRlnlLmbwEAqFEmxy823//3U4YDlXH321,/4i0qNHI7hk=,KDYaelNkJ4tgR76eaao+,KDYaeFl7Jod8SIuPaJEI9A9hr3RgXcajHxJJbi4YyZP+XhI4EUxNz3QGwqgk4wa5RlLfLELlEyqoEGpe/nP6/EQRYBJUFl2ju95YbvVk/DyIK/duHtZvdKF+GH+pG8i95Fc5ERhobsxaFc2RFuIIt0dZ6y9g6xkuph9HRfFj9PxRGGITThhwiw4ci+EdjHSZEynzcxnvdHaVWRZOrxvFlSoVEXtfeC6Wckm9gmaSFvo4YaVsS4hqMs1gdzmWf7CXW10oOxl5aMJcBsW7G+0ak0Z8wyFh2BEGtRhMUlmMMGOk1mohdx99pg86teM7onSAECnCcRXTbHqheBVtiBHpkykDIHV1fySddkuxqmebBvkndKVYd4BKG8VLfOgmz2H+dAy9e2J48BkOOY/iHa3XWOEmzn8c5k99ln4=,/4i0qdHI7hvb,mcrw+A==,browsecomp-zh-revised
9Q==,KCQteUZmJr9kSpeUaYcj+S98pHBwgEoezGt5Pq5+saZAUDoNG3ppz3k2wqUq4jasRHb6KnrzHzG0E0pg9H7I9HE0YSZoFlqUDzqC4zqhdaYaJ9p2HtRTdZdZFGW3Gc+fJDgaeERWJJRpSLaKZb8X+BhOqWlDhmoSwlFxPIh/vLBVXQgSFkBCzGgJz5UN4hmaRUHRLXD0EQiuHmpG8VzY83IoYBdWH32mAACD4gStdaQ2KdVEHtVMdpFbFGKsGuyQKC4YeENZIqpqRpWeaKQo9B9epUJSh1ATzEZyMqlusJFlXRQFG2xpw0M2w4ce4DSISHnRLELCExehEWxX/1XN/nceYgd6GVu2Dwyn6D2JeZwsKvteHPRCdLJYFUG2Gu2bKxQkeGJYJ7RpS6+wZIo19CBPpUZ8inkgzW10OJZisJRpXyADFl9czlElz5sx5xGBRHb+LXDxEQiuH0VB8kTe/3UyYBJoFX+9ABCj4ASJeZ88K8hhEu96d7p6FXmmG/G8KCEvfn5yJZF+SbCDZKE2+TBDpHB3i00XwlVbMrhOsKZYXRk1GkhXzX0izb0r4CyJRHbtJ0bjHhKmE0hO/kHN/XI4YBdPFHusDBW84i+zdaUBJu5wH8tsd5NDGGetGu+hKzIQdURbJr5YS5SDaboB+Spmo0h4imo6wkhpPq5+sKJ5VzkRGGxIzlAuzr8r4DSvR1rfLlLOEimVEnpy8Xf8/Fc8YDpBFkGrDTKC4TGxdaQqJ+FxHfRYeqRAFWSBGfm3KQAFeG59LpZkRoWwaJI/+QV3pVRSiGInz2J2Pq91vJhwXx8ZGVxtzlAuzr8r4wSFR3XDLmLAHiKrGExF,KAQleURqJZJ0,KDYaelNkJ4tgR76eaao+,KDYaelNkJ4tgR76eaao+8xxCpXRai0wIzk9sPI5RsqZaUR43G1hezXIqzJIY4iqfT3LMLEfpEyucHm1E8VL5/3U4YSVUFlSzDxWp6D2JdaMOKNRxH/94dYdjFnueGM20KgUSdGVaJIJ3S7avZ5g8+RdQp1J+iFo+zk9wPq5Us45UXz4eEUxJz3gBwpUY4wSFR3XDJ0bmETmKE0tb8Xvy+E06,KhMleUVxJq9P,mcrw+A==,browsecomp-zh-revised
9A==,KQAFeUN9Jr5TS4Sxbrkd+yh4pHJIikkRwnN/PYF7sJV2XD0LEUxNzHQnzr8B4Sm2RWnQLV3/GS6mE0hU81ju/mAobR9MFl2jDBS+4zmvdLEwK+V7FdN6d7p5FXOMG/KgKhgxdV1yLpZkS7qJZr4e+S5IpHBziVgnzHNvPJV7sJR/WwUfG2BPzHQnzr8B7BK0RljHLVfJEi+2EmNb82Hv/3c2YzBaFHuQDjya4gecfqAsJv9RE+xedpdrFUmXG9qwKQMFeUd4LpZ3,KQcYekNn78NDNsycNQ==,KDYaelNkJ4tgR76eaao+,KDYazBhdYs1JAMObAe03nURx7i5u1hE/vhFRUg==,LjgPe2J4JZBGSpKJZIA8+B5xpWtRjHYZ,mcrw+A==,browsecomp-zh-revised
